ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 09/12/2024 19:06

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
42,LIMA,2018,12,LM180685065,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 11:56,21/01/2019 15:07,,,,APROBADO
43,LIMA,2018,12,LM180684851,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 11:14,21/01/2019 19:11,,,,APROBADO
44,LIMA,2018,12,LM180684416,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:50,21/01/2019 15:06,,,,APROBADO
45,LIMA,2018,12,LM180684370,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:40,21/01/2019 19:11,,,,APROBADO
46,LIMA,2018,12,LM180684353,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:37,21/01/2019 19:09,,,,APROBADO
47,LIMA,2018,12,LM180684313,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:28,21/01/2019 19:09,,,,APROBADO
48,LIMA,2018,12,LM180684306,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:27,21/01/2019 19:08,,,,APROBADO
49,LIMA,2018,12,LM180684238,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 9:12,21/01/2019 15:09,,,,APROBADO
50,LIMA,2018,12,LM180684152,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 8:56,21/01/2019 15:09,,,,APROBADO
51,LIMA,2018,12,LM180684121,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 8:50,21/01/2019 15:08,,,,APROBADO
52,LIMA,2018,12,LM180681572,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 17:24,14/01/2019 17:17,,,,APROBADO
53,LIMA,2018,12,LM180681545,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 17:17,14/01/2019 17:16,,,,APROBADO
54,LIMA,2018,12,LM180681511,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 17:11,14/01/2019 17:15,,,,APROBADO
55,LIMA,2018,12,LM180681361,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 16:33,14/01/2019 10:52,,,,APROBADO
56,LIMA,2018,12,LM180680879,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 14:45,21/01/2019 15:05,,,,APROBADO
57,LIMA,2018,12,LM180680870,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 14:43,21/01/2019 15:04,,,,APROBADO
58,LIMA,2018,12,LM180680859,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 14:42,21/01/2019 15:04,,,,APROBADO
59,LIMA,2018,12,LM180680853,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 14:40,21/01/2019 15:03,,,,APROBADO
60,LIMA,2018,12,LM180680300,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 12:48,14/01/2019 10:51,,,,APROBADO
61,LIMA,2018,12,LM180680277,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 12:43,14/01/2019 17:21,,,,APROBADO
62,LIMA,2018,12,LM180680232,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 12:30,14/01/2019 17:19,,,,APROBADO
63,LIMA,2018,12,LM180680225,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 12:28,14/01/2019 17:19,,,,APROBADO
64,LIMA,2018,12,LM180678917,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 8:34,14/01/2019 17:19,,,,APROBADO
65,LIMA,2018,12,LM180678776,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 8:03,14/01/2019 17:18,,,,APROBADO
66,LIMA,2018,12,LM180676341,"PAGOS, FECHA Y NRO RD. - F",26/12/2018 14:04,10/01/2019 10:36,,,,APROBADO
67,LIMA,2018,12,LM180676301,"PAGOS, FECHA Y NRO RD. - F",26/12/2018 13:54,21/01/2019 19:18,,,,APROBADO
68,LIMA,2018,12,LM180675085,"PAGOS, FECHA Y NRO RD. - F",26/12/2018 8:51,14/01/2019 10:51,,,,APROBADO
69,LIMA,2018,12,LM180675079,"PAGOS, FECHA Y NRO RD. - F",26/12/2018 8:50,22/02/2019 8:46,,,,APROBADO
