ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 05/12/2024 10:54

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
42,LIMA,2018,10,LM180456738,CONFORMIDAD DIREC.INMGRACION. - I,02/10/2018 11:44,03/01/2019 18:28,,,,DENEGADO
43,LIMA,2018,10,LM180456412,CONFORMIDAD DIREC.INMGRACION. - I,02/10/2018 10:37,03/01/2019 18:27,,,,DENEGADO
44,LIMA,2018,10,LM180456406,CONFORMIDAD DIREC.INMGRACION. - I,02/10/2018 10:36,03/01/2019 18:27,,,,DENEGADO
45,LIMA,2018,9,LM180444440,CONFORMIDAD DIREC.INMGRACION. - I,27/09/2018 11:20,14/11/2018 20:11,,,,DENEGADO
46,LIMA,2018,9,LM180444329,CONFORMIDAD DIREC.INMGRACION. - I,27/09/2018 10:57,14/11/2018 20:11,,,,DENEGADO
47,LIMA,2018,9,LM180444268,CONFORMIDAD DIREC.INMGRACION. - I,27/09/2018 10:43,14/11/2018 20:11,,,,DENEGADO
48,LIMA,2018,9,LM180441053,CONFORMIDAD DIREC.INMGRACION. - I,26/09/2018 12:32,19/11/2018 9:11,,,,DENEGADO
49,LIMA,2018,9,LM180434093,CONFORMIDAD DIREC.INMGRACION. - I,24/09/2018 14:17,03/12/2018 9:09,,,,DENEGADO
50,LIMA,2018,9,LM180427662,CONFORMIDAD DIREC.INMGRACION. - I,21/09/2018 10:09,19/11/2018 9:18,,,,DENEGADO
51,LIMA,2018,9,LM180405663,CONFORMIDAD DIREC.INMGRACION. - I,13/09/2018 17:01,21/01/2019 19:33,,,,DENEGADO
52,LIMA,2018,9,LM180398439,CONFORMIDAD DIREC.INMGRACION. - I,11/09/2018 16:56,15/01/2019 17:22,,,,DENEGADO
53,LIMA,2018,9,LM180398419,CONFORMIDAD DIREC.INMGRACION. - I,11/09/2018 16:50,15/01/2019 17:18,,,,DENEGADO
54,LIMA,2018,9,LM180397908,CONFORMIDAD DIREC.INMGRACION. - I,11/09/2018 14:42,21/01/2019 19:33,,,,DENEGADO
55,LIMA,2018,9,LM180393568,CONFORMIDAD DIREC.INMGRACION. - I,10/09/2018 11:14,23/08/2019 18:47,,,,DENEGADO
56,LIMA,2018,9,LM180388538,CONFORMIDAD DIREC.INMGRACION. - I,07/09/2018 11:59,19/10/2018 10:13,,,,DENEGADO
57,LIMA,2018,9,LM180373880,CONFORMIDAD DIREC.INMGRACION. - I,03/09/2018 11:57,29/11/2018 16:35,,,,DENEGADO
58,LIMA,2018,8,LM180362459,CONFORMIDAD DIREC.INMGRACION. - I,27/08/2018 11:22,03/12/2018 9:02,,,,DENEGADO
59,LIMA,2018,8,LM180358260,CONFORMIDAD DIREC.INMGRACION. - I,24/08/2018 13:29,07/11/2018 17:55,,,,DENEGADO
60,LIMA,2018,8,LM180339908,CONFORMIDAD DIREC.INMGRACION. - I,17/08/2018 11:24,04/10/2018 12:20,,,,DENEGADO
61,LIMA,2018,8,LM180334623,CONFORMIDAD DIREC.INMGRACION. - F,15/08/2018 17:00,29/09/2018 14:26,,,,DENEGADO
62,LIMA,2018,8,LM180328010,CONFORMIDAD DIREC.INMGRACION. - I,13/08/2018 16:32,05/04/2019 15:40,,,,DENEGADO
63,LIMA,2018,8,LM180314590,CONFORMIDAD DIREC.INMGRACION. - I,07/08/2018 18:02,10/09/2018 13:24,,,,DENEGADO
64,LIMA,2018,8,LM180313582,CONFORMIDAD DIREC.INMGRACION. - I,07/08/2018 13:27,10/09/2018 13:24,,,,DENEGADO
65,LIMA,2018,8,LM180311468,CONFORMIDAD DIREC.INMGRACION. - I,06/08/2018 18:34,05/10/2018 19:33,,,,DENEGADO
66,LIMA,2018,8,LM180311449,CONFORMIDAD DIREC.INMGRACION. - I,06/08/2018 18:26,05/10/2018 19:32,,,,DENEGADO
67,LIMA,2018,8,LM180311426,CONFORMIDAD DIREC.INMGRACION. - I,06/08/2018 18:17,05/10/2018 19:33,,,,DENEGADO
68,LIMA,2018,8,LM180309807,CONFORMIDAD DIREC.INMGRACION. - I,06/08/2018 10:32,10/09/2018 13:24,,,,DENEGADO
69,LIMA,2018,8,LM180301350,CONFORMIDAD DIREC.INMGRACION. - I,02/08/2018 8:48,29/10/2018 18:01,,,,DENEGADO
70,LIMA,2018,8,LM180298304,CONFORMIDAD DIREC.INMGRACION. - I,01/08/2018 9:12,03/07/2019 13:12,,,,DENEGADO
71,LIMA,2018,7,LM180296665,CONFORMIDAD DIREC.INMGRACION. - I,31/07/2018 9:55,14/11/2018 16:38,,,,DENEGADO
72,LIMA,2018,7,LM180295694,CONFORMIDAD DIREC.INMGRACION. - I,30/07/2018 19:43,16/08/2018 16:14,,,,DENEGADO
73,LIMA,2018,7,LM180295681,CONFORMIDAD DIREC.INMGRACION. - I,30/07/2018 19:36,16/08/2018 16:13,,,,DENEGADO
74,LIMA,2018,7,LM180293436,CONFORMIDAD DIREC.INMGRACION. - F,30/07/2018 9:34,14/09/2018 13:32,,,,DENEGADO
75,LIMA,2018,7,LM180282028,CONFORMIDAD DIREC.INMGRACION. - I,23/07/2018 11:37,17/01/2019 16:38,,,,DENEGADO
76,LIMA,2018,7,LM180263485,CONFORMIDAD DIREC.INMGRACION. - I,13/07/2018 18:09,23/08/2018 17:38,,,,DENEGADO
77,LIMA,2018,7,LM180260665,CONFORMIDAD DIREC.INMGRACION. - I,12/07/2018 17:24,16/08/2018 16:13,,,,DENEGADO
78,LIMA,2018,7,LM180255071,CONFORMIDAD DIREC.INMGRACION. - I,10/07/2018 17:18,15/08/2018 13:46,,,,DENEGADO
79,LIMA,2018,7,LM180250740,CONFORMIDAD DIREC.INMGRACION. - I,09/07/2018 9:24,04/09/2018 18:17,,,,DENEGADO
80,LIMA,2018,7,LM180250725,CONFORMIDAD DIREC.INMGRACION. - I,09/07/2018 9:21,04/09/2018 18:17,,,,DENEGADO
81,LIMA,2018,7,LM180250721,CONFORMIDAD DIREC.INMGRACION. - I,09/07/2018 9:20,04/09/2018 18:17,,,,DENEGADO
82,LIMA,2018,7,LM180239402,CONFORMIDAD DIREC.INMGRACION. - I,03/07/2018 14:17,15/08/2018 13:38,,,,DENEGADO
83,LIMA,2018,7,LM180238627,CONFORMIDAD DIREC.INMGRACION. - I,03/07/2018 10:25,12/09/2018 16:42,,,,DENEGADO
84,LIMA,2018,6,LM180218401,CONFORMIDAD DIREC.INMGRACION. - I,21/06/2018 9:23,15/08/2018 13:44,,,,DENEGADO
85,LIMA,2018,6,LM180212228,CONFORMIDAD DIREC.INMGRACION. - I,18/06/2018 20:25,13/09/2018 9:04,,,,DENEGADO
86,LIMA,2018,6,LM180205398,CONFORMIDAD DIREC.INMGRACION. - I,14/06/2018 11:00,26/07/2018 16:20,,,,DENEGADO
87,LIMA,2018,6,LM180203151,CONFORMIDAD DIREC.INMGRACION. - I,13/06/2018 12:25,28/08/2018 16:25,,,,DENEGADO
88,LIMA,2018,6,LM180202395,CONFORMIDAD DIREC.INMGRACION. - I,13/06/2018 8:39,04/10/2018 12:20,,,,DENEGADO
89,LIMA,2018,6,LM180202337,CONFORMIDAD DIREC.INMGRACION. - I,13/06/2018 8:16,23/08/2018 17:35,,,,DENEGADO
90,LIMA,2018,6,LM180193223,CONFORMIDAD DIREC.INMGRACION. - I,07/06/2018 11:42,28/08/2018 16:29,,,,DENEGADO
91,LIMA,2018,6,LM180192129,CONFORMIDAD DIREC.INMGRACION. - I,06/06/2018 18:48,15/08/2018 13:38,,,,DENEGADO
