ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA ESPECIAL RESIDENTE,Fecha Consulta: 04/12/2024 17:37

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2020,12,AQ200020620,EVALUACIÓN - F,23/12/2020 20:42,30/04/2021 21:00,,,,ABANDONO
2,AREQUIPA,2020,12,AQ200019901,EVALUACIÓN - F,16/12/2020 23:26,31/08/2021 21:26,,,,ABANDONO
3,AREQUIPA,2020,12,AQ200018899,EVALUACIÓN - F,08/12/2020 18:54,01/03/2021 8:25,,,,ABANDONO
4,AREQUIPA,2020,12,AQ200018547,EVALUACIÓN - F,02/12/2020 22:11,25/06/2021 17:38,,,,ABANDONO
5,AREQUIPA,2020,11,AQ200017700,EVALUACIÓN - F,20/11/2020 1:40,01/03/2021 9:02,,,,ABANDONO
6,AREQUIPA,2020,11,AQ200016967,EVALUACIÓN - F,09/11/2020 16:09,01/09/2021 12:18,,,,ABANDONO
7,AREQUIPA,2020,11,AQ200016960,EVALUACIÓN - F,09/11/2020 15:20,31/08/2021 21:04,,,,ABANDONO
8,AREQUIPA,2020,11,AQ200016898,EVALUACIÓN - F,06/11/2020 20:07,01/03/2021 9:48,,,,ABANDONO
9,AREQUIPA,2020,11,AQ200016751,EVALUACIÓN - F,04/11/2020 14:19,25/06/2021 17:24,,,,ABANDONO
10,AREQUIPA,2020,11,AQ200016616,EVALUACIÓN - F,02/11/2020 10:59,31/05/2021 17:54,,,,ABANDONO
11,AREQUIPA,2020,10,AQ200016572,EVALUACIÓN - F,29/10/2020 19:38,16/02/2021 20:16,,,,ABANDONO
12,AREQUIPA,2020,10,AQ200016569,EVALUACIÓN - F,29/10/2020 14:53,16/02/2021 19:48,,,,ABANDONO
13,AREQUIPA,2020,10,AQ200016514,EVALUACIÓN - F,27/10/2020 14:19,16/02/2021 18:57,,,,ABANDONO
14,AREQUIPA,2020,10,AQ200016489,RECONSIDERACION. - F,26/10/2020 18:02,16/02/2021 18:35,,,,ABANDONO
15,AREQUIPA,2020,10,AQ200016447,EVALUACIÓN - F,24/10/2020 10:45,16/02/2021 17:21,,,,ABANDONO
16,AREQUIPA,2020,10,AQ200016439,EVALUACIÓN - F,23/10/2020 20:22,30/04/2021 17:43,,,,ABANDONO
17,AREQUIPA,2020,10,AQ200016432,EVALUACIÓN - F,23/10/2020 12:27,30/04/2021 16:47,,,,ABANDONO
18,AREQUIPA,2020,10,AQ200016364,RECONSIDERACION. - F,20/10/2020 15:31,16/02/2021 17:10,,,,ABANDONO
19,AREQUIPA,2020,10,AQ200016211,EVALUACIÓN - F,10/10/2020 16:13,17/02/2021 12:27,,,,ABANDONO
20,AREQUIPA,2020,10,AQ200016087,EVALUACIÓN - F,04/10/2020 9:16,01/09/2021 11:57,,,,ABANDONO
21,AREQUIPA,2020,10,AQ200016081,EVALUACIÓN - F,03/10/2020 12:38,11/06/2021 17:00,,,,ABANDONO
22,AREQUIPA,2020,9,AQ200016028,EVALUACIÓN - F,30/09/2020 19:49,01/09/2021 11:37,,,,ABANDONO
23,AREQUIPA,2020,9,AQ200016017,EVALUACIÓN - F,30/09/2020 12:09,31/08/2021 19:51,,,,ABANDONO
24,AREQUIPA,2020,9,AQ200015988,EVALUACIÓN - F,29/09/2020 9:34,10/05/2021 21:17,,,,ABANDONO
25,AREQUIPA,2020,9,AQ200015900,EVALUACIÓN - F,23/09/2020 11:40,11/06/2021 14:09,,,,ABANDONO
26,AREQUIPA,2020,9,AQ200015887,EVALUACIÓN - F,22/09/2020 22:48,31/08/2021 19:21,,,,ABANDONO
27,AREQUIPA,2020,9,AQ200015828,RECONSIDERACION. - F,19/09/2020 15:12,10/05/2021 20:50,,,,ABANDONO
28,AREQUIPA,2020,9,AQ200015819,EVALUACIÓN - F,18/09/2020 17:39,31/08/2021 19:00,,,,ABANDONO
29,AREQUIPA,2020,9,AQ200015815,EVALUACIÓN - F,18/09/2020 12:27,25/05/2021 16:24,,,,ABANDONO
30,AREQUIPA,2020,9,AQ200015781,EVALUACIÓN - F,16/09/2020 22:00,31/08/2021 18:25,,,,ABANDONO
31,AREQUIPA,2020,9,AQ200015623,EVALUACIÓN - F,07/09/2020 16:46,07/09/2021 21:08,,,,ABANDONO
32,AREQUIPA,2020,8,AQ200015459,EVALUACIÓN - F,23/08/2020 17:55,19/04/2021 20:23,,,,ABANDONO
33,AREQUIPA,2020,8,AQ200015382,EVALUACIÓN - F,16/08/2020 14:23,19/04/2021 19:32,,,,ABANDONO
34,AREQUIPA,2020,7,AQ200015140,EVALUACIÓN - F,22/07/2020 13:36,02/06/2021 23:31,,,,ABANDONO
35,AREQUIPA,2020,7,AQ200015135,EVALUACIÓN - F,22/07/2020 10:21,01/03/2021 10:58,,,,ABANDONO
36,AREQUIPA,2020,7,AQ200015118,EVALUACIÓN - F,20/07/2020 23:34,01/03/2021 10:24,,,,ABANDONO
37,AREQUIPA,2020,7,AQ200015060,RECONSIDERACION. - F,15/07/2020 9:45,19/04/2021 20:11,,,,ABANDONO
38,AREQUIPA,2020,7,AQ200015043,EVALUACIÓN - F,13/07/2020 16:20,21/05/2021 20:58,,,,ABANDONO
39,AREQUIPA,2020,7,AQ200015038,EVALUACIÓN - F,13/07/2020 13:09,02/06/2021 21:07,,,,ABANDONO
40,AREQUIPA,2020,7,AQ200014983,EVALUACIÓN - F,07/07/2020 11:21,02/06/2021 18:48,,,,ABANDONO
41,AREQUIPA,2020,7,AQ200014956,EVALUACIÓN - F,03/07/2020 14:04,14/04/2021 23:05,,,,ABANDONO
42,AREQUIPA,2020,6,AQ200014893,EVALUACIÓN - F,25/06/2020 20:26,31/08/2021 17:55,,,,ABANDONO
43,AREQUIPA,2020,6,AQ200014882,RECONSIDERACION. - F,24/06/2020 17:22,16/02/2021 0:44,,,,ABANDONO
44,AREQUIPA,2020,6,AQ200014880,RECONSIDERACION. - F,24/06/2020 17:12,01/03/2021 10:53,,,,ABANDONO
45,AREQUIPA,2020,6,AQ200014853,RECONSIDERACION. - F,22/06/2020 20:35,09/02/2021 6:39,,,,ABANDONO
46,AREQUIPA,2020,6,AQ200014843,EVALUACIÓN - F,22/06/2020 10:15,09/02/2021 5:51,,,,ABANDONO
47,AREQUIPA,2020,6,AQ200014834,EVALUACIÓN - F,21/06/2020 11:31,22/01/2021 6:26,,,,ABANDONO
48,AREQUIPA,2020,6,AQ200014789,EVALUACIÓN - F,17/06/2020 9:55,21/01/2021 3:04,,,,ABANDONO
49,AREQUIPA,2020,6,AQ200014779,EVALUACIÓN - F,16/06/2020 12:17,21/01/2021 2:28,,,,ABANDONO
50,AREQUIPA,2020,6,AQ200014776,RECONSIDERACION. - F,16/06/2020 10:52,21/01/2021 1:53,,,,ABANDONO
51,AREQUIPA,2020,6,AQ200014761,EVALUACIÓN - F,15/06/2020 15:31,01/03/2021 10:06,,,,ABANDONO
52,AREQUIPA,2020,6,AQ200014759,RECONSIDERACION. - F,15/06/2020 14:07,21/01/2021 1:20,,,,ABANDONO
53,AREQUIPA,2020,6,AQ200014709,EVALUACIÓN - F,11/06/2020 14:40,01/03/2021 10:02,,,,ABANDONO
54,AREQUIPA,2020,6,AQ200014701,EVALUACIÓN - F,11/06/2020 9:44,21/01/2021 0:46,,,,ABANDONO
55,AREQUIPA,2020,6,AQ200014696,EVALUACIÓN - F,10/06/2020 19:38,21/01/2021 0:08,,,,ABANDONO
56,AREQUIPA,2020,6,AQ200014695,EVALUACIÓN - F,10/06/2020 19:13,01/03/2021 10:38,,,,ABANDONO
57,AREQUIPA,2020,6,AQ200014694,EVALUACIÓN - F,10/06/2020 17:52,20/01/2021 23:34,,,,ABANDONO
58,AREQUIPA,2020,6,AQ200014663,EVALUACIÓN - F,09/06/2020 14:59,01/03/2021 10:34,,,,ABANDONO
59,AREQUIPA,2020,6,AQ200014655,EVALUACIÓN - F,09/06/2020 9:30,20/01/2021 6:33,,,,ABANDONO
60,AREQUIPA,2020,3,AQ200013693,EVALUACIÓN - F,09/03/2020 13:27,14/12/2020 20:43,,,,ABANDONO
61,AREQUIPA,2020,3,AQ200013621,EVALUACIÓN - F,09/03/2020 10:56,03/02/2021 12:43,,,,ABANDONO
62,AREQUIPA,2020,3,AQ200013207,EVALUACIÓN - F,06/03/2020 10:22,16/12/2020 11:01,,,,ABANDONO
63,AREQUIPA,2020,3,AQ200013002,EVALUACIÓN - F,05/03/2020 10:10,14/12/2020 18:46,,,,ABANDONO
64,AREQUIPA,2020,3,AQ200012910,EVALUACIÓN - F,04/03/2020 18:01,16/12/2020 15:59,,,,ABANDONO
