ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 05/12/2024 10:37

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2020,12,AQ200020992,EVALUACIÓN - F,30/12/2020 13:27,21/04/2021 21:10,,,,ABANDONO
2,AREQUIPA,2020,12,AQ200020922,EVALUACIÓN - F,29/12/2020 19:44,25/06/2021 22:37,,,,ABANDONO
3,AREQUIPA,2020,12,AQ200020882,EVALUACIÓN - F,29/12/2020 16:52,25/06/2021 21:55,,,,ABANDONO
4,AREQUIPA,2020,12,AQ200020620,EVALUACIÓN - F,23/12/2020 20:42,30/04/2021 21:00,,,,ABANDONO
5,AREQUIPA,2020,12,AQ200020156,EVALUACIÓN - F,18/12/2020 15:56,21/04/2021 20:55,,,,ABANDONO
6,AREQUIPA,2020,12,AQ200019931,EVALUACIÓN - F,17/12/2020 9:29,26/06/2021 22:03,,,,ABANDONO
7,AREQUIPA,2020,12,AQ200019901,EVALUACIÓN - F,16/12/2020 23:26,31/08/2021 21:26,,,,ABANDONO
8,AREQUIPA,2020,12,AQ200019898,EVALUACIÓN - F,16/12/2020 20:19,25/06/2021 19:20,,,,ABANDONO
9,AREQUIPA,2020,12,AQ200019437,EVALUACIÓN - F,14/12/2020 10:40,01/03/2021 16:27,,,,ABANDONO
10,AREQUIPA,2020,12,AQ200018899,EVALUACIÓN - F,08/12/2020 18:54,01/03/2021 8:25,,,,ABANDONO
11,AREQUIPA,2020,12,AQ200018600,EVALUACIÓN - F,03/12/2020 13:30,22/04/2021 13:24,,,,ABANDONO
12,AREQUIPA,2020,12,AQ200018547,EVALUACIÓN - F,02/12/2020 22:11,25/06/2021 17:38,,,,ABANDONO
13,AREQUIPA,2020,11,AQ200018284,EVALUACIÓN - F,30/11/2020 13:05,01/03/2021 8:33,,,,ABANDONO
14,AREQUIPA,2020,11,AQ200018146,EVALUACIÓN - F,27/11/2020 10:24,26/04/2021 21:25,,,,ABANDONO
15,AREQUIPA,2020,11,AQ200017700,EVALUACIÓN - F,20/11/2020 1:40,01/03/2021 9:02,,,,ABANDONO
16,AREQUIPA,2020,11,AQ200017230,EVALUACIÓN - F,14/11/2020 15:14,04/08/2021 17:02,,,,ABANDONO
17,AREQUIPA,2020,11,AQ200017157,EVALUACIÓN - F,12/11/2020 22:25,16/06/2021 23:57,,,,ABANDONO
18,AREQUIPA,2020,11,AQ200016967,EVALUACIÓN - F,09/11/2020 16:09,01/09/2021 12:18,,,,ABANDONO
19,AREQUIPA,2020,11,AQ200016960,EVALUACIÓN - F,09/11/2020 15:20,31/08/2021 21:04,,,,ABANDONO
20,AREQUIPA,2020,11,AQ200016898,EVALUACIÓN - F,06/11/2020 20:07,01/03/2021 9:48,,,,ABANDONO
21,AREQUIPA,2020,11,AQ200016873,RECONSIDERACION. - F,06/11/2020 13:23,06/02/2021 19:57,,,,ABANDONO
