ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
47,LIMA,2019,10,LM190336903,EVALUACIÓN - F,21/10/2019 15:29,13/03/2020 9:12,,,,DESISTIDO
48,LIMA,2019,10,LM190329711,EVALUACIÓN - F,14/10/2019 10:23,08/10/2020 14:20,,,,DESISTIDO
49,LIMA,2019,10,LM190323409,EVALUACIÓN - F,04/10/2019 14:54,15/01/2020 12:25,,,,DESISTIDO
50,LIMA,2019,10,LM190321164,EVALUACIÓN - F,03/10/2019 9:53,04/02/2020 20:05,,,,DESISTIDO
51,LIMA,2019,10,LM190321159,EVALUACIÓN - F,03/10/2019 9:51,04/02/2020 16:02,,,,DESISTIDO
52,LIMA,2019,9,LM190317088,EVALUACIÓN - F,30/09/2019 11:48,13/02/2020 14:50,,,,DESISTIDO
53,LIMA,2019,9,LM190316866,EVALUACIÓN - F,30/09/2019 11:04,27/02/2020 11:16,,,,DESISTIDO
54,LIMA,2019,9,LM190310016,EVALUACIÓN - F,23/09/2019 16:39,23/09/2020 15:16,,,,DESISTIDO
55,LIMA,2019,9,LM190307629,EVALUACIÓN - F,20/09/2019 13:00,26/11/2019 12:28,,,,DESISTIDO
56,LIMA,2019,9,LM190299958,EVALUACIÓN - F,12/09/2019 14:41,20/11/2019 14:58,,,,DESISTIDO
57,LIMA,2019,9,LM190297204,EVALUACIÓN - F,10/09/2019 12:42,15/10/2020 15:12,,,,DESISTIDO
58,LIMA,2019,9,LM190296629,EVALUACIÓN - F,10/09/2019 9:03,10/03/2020 14:26,,,,DESISTIDO
59,LIMA,2019,9,LM190295161,EVALUACIÓN - F,09/09/2019 8:58,05/02/2020 11:27,,,,DESISTIDO
60,LIMA,2019,9,LM190291250,EVALUACIÓN - F,04/09/2019 11:36,24/01/2020 11:30,,,,DESISTIDO
61,LIMA,2019,8,LM190284605,EVALUACIÓN - F,27/08/2019 12:59,11/03/2021 15:36,,,,DESISTIDO
62,LIMA,2019,8,LM190280347,EVALUACIÓN - F,23/08/2019 10:19,03/03/2020 14:29,,,,DESISTIDO
63,LIMA,2019,8,LM190276362,EVALUACIÓN - F,20/08/2019 12:56,09/10/2020 17:27,,,,DESISTIDO
64,LIMA,2019,8,LM190274656,EVALUACIÓN - F,19/08/2019 12:02,24/12/2019 8:42,,,,DESISTIDO
65,LIMA,2019,8,LM190267867,EVALUACIÓN - F,13/08/2019 12:50,17/12/2019 14:04,,,,DESISTIDO
66,LIMA,2019,8,LM190263934,EVALUACIÓN - F,09/08/2019 10:53,21/10/2019 10:23,,,,DESISTIDO
67,LIMA,2019,7,LM190243615,EVALUACIÓN - F,19/07/2019 9:54,22/10/2019 15:42,,,,DESISTIDO
68,LIMA,2019,7,LM190235998,EVALUACIÓN - F,11/07/2019 15:45,04/02/2020 12:02,,,,DESISTIDO
69,LIMA,2019,6,LM190222581,EVALUACIÓN - F,26/06/2019 16:45,25/09/2019 11:07,,,,DESISTIDO
70,LIMA,2019,6,LM190220757,EVALUACIÓN - F,25/06/2019 11:25,30/12/2019 18:25,,,,DESISTIDO
71,LIMA,2019,6,LM190212073,EVALUACIÓN - F,13/06/2019 14:48,26/10/2020 8:41,,,,DESISTIDO
72,LIMA,2019,6,LM190210424,EVALUACIÓN - F,12/06/2019 8:31,30/12/2019 18:21,,,,DESISTIDO
73,LIMA,2019,6,LM190209012,EVALUACIÓN - F,10/06/2019 13:29,09/03/2020 14:51,,,,DESISTIDO
